	Ratings	Comments
546	Rated 2 stars out of five stars	"I literally JUST registered on the app and the INSTANT I tap on the ""Shop"" icon I get prompted to rate the app?!?!?... Would be nice if I could use it for more than the time it takes to tap a single button. Now my very first experience is getting annoyed! NOT A GOOD START! This will likely impact/sk...
Full Review"
547	Rated 1 stars out of five stars	Great concept, but it doesnt work. Tried scanning items to price, got the message that there was a problem, try sgain. Tried scanning to purchase, said there was a problem and to try again. After several attempts, just gave up. :-(
551	Rated 2 stars out of five stars	if I open the app they give you a discount but its not true
555	Rated 1 stars out of five stars	update Not working. unable to install so interfering with my shopping
558	Rated 1 stars out of five stars	can't look for a dress with all the bs on here!
559	Rated 1 stars out of five stars	IN STORE I DON'T SEE THIS FROM THIS APP! I AM NOT A CREDIT CARD SHOPPER! HENCE THIS APP IS DEFINITELY NOT SUITED FOR MY LIFESTYLE. when I bought my mattress for $900.00 cash I had to wait. Delivery took too long! HENCE MY DECISION TO REMOVE THIS APP AND BLOCK EMAILS AS WELL. NOTHING HAS CHANGED!
587	Rated 2 stars out of five stars	"Not so good since the update.. Since the March 1st update I haven't been able to see the clothing without clicking on the item twice which is basically using the zoom screen. This is very annoying and, to be honest, I haven't been using the app much since this has been taking place. Please fix whate...
Full Review"
592	Rated 2 stars out of five stars	Everytime I start browsing it shows some items and then stops, so if it's suppose to display a 100 it only shows 30 and it won't scroll down anymore, it does it every time. It's annoying!
601	Rated 1 stars out of five stars	right now I cant shop since app insisting on updating...all day long
602	Rated 1 stars out of five stars	"This is the worst app ever. Everytime I try to order an item using this app, it never functions. I always encounter a problem, specifically there seems to be a problem with the contact number field. Maybe Macy's should invest in upgrading their app to make it convenient for customers to purchase onl...
Full Review"
609	Rated 1 stars out of five stars	Not easy to return items, ive just been searching throughout the app trying to find an easy way to print a return label... im still looking. It almost seems they want people to get frustrated and give up on trying. i also called the 800 number and waited for 20 min before i gave up there too.
621	Rated 1 stars out of five stars	"New update made everything to upload very slow to not uploading at all where you get a blank screen for product information. When opening the app there is no sale of the day with promo code. I use this app for work with customers and it kind of sucks that I can not provide the customer with the serv...
Full Review"
623	Rated 2 stars out of five stars	"the pictures dont load at all on my phone. i must always enlarge the picture to see it... i place things in my bag and when i go to see it, my bag is empty 🙃. these small things irritate me, and frankly the website runs better than the app. i was excited for this but unfortunately I am quite disapp...
Full Review"
630	Rated 1 stars out of five stars	Authentication is buggy. Can login on website but not app.
633	Rated 1 stars out of five stars	Whenever I tap on an item the picture doesn't load...ever... I have uninstalled and reinstalled the app several times and no change. I am about to uninstall and reinstall once more. Somebody needs to fix this app. p.s. I have a Samsung Galaxy S9+ so it's not my phone.
640	Rated 1 stars out of five stars	Downloaded App because Macy's said we'd get 25 percent off our first order. We didn't. Just like none of their coupon codes ever work. I feel like I was just punked again for the 5th time in a row by Macy's. Apparently Macy's is a liar. Going to uninstall and start shopping at JC Penney
641	Rated 1 stars out of five stars	love the app so far. Update: Since I reviewed this app it's super annoying because now some of the images aren't appearing. It's horrible now, I change to 0 stars if I could. Fix it please I've never had a problem until now.
646	Rated 1 stars out of five stars	"This app is a waste of time. It never filters correctly, it won't tell what's actually in stock in your store altho it says it will & now tonight they text me re: a 6 hr flash sale but it won't add anything to my cart due to a ""technical error"". But it's just in that section! Go into any other page ...
Full Review"
650	Rated 1 stars out of five stars	download it for the 25% discount and didn't get it at all.
679	Rated 1 stars out of five stars	apps sucks. it doesnt let u share product on whatsapp.
680	Rated 1 stars out of five stars	I have to reset my password EVERY time I want to pay my bill. terrible.
685	Rated 1 stars out of five stars	"You Will Most Likely Receive The Wrong Item! I ordered a white asymmetrical belted coat, and received an ugly black jumper. The worst part, is the UPC code for the white coat, was the same as the UPC on the ugle black jumper. Was looking forward to weariing the coat, and am now super disappointed. T...
Full Review"
698	Rated 1 stars out of five stars	The app is horrible to use. I added few items in bag. but it doesn't let me view the bag and I can't check out. So regret to download the app. very horrible experience.
719	Rated 1 stars out of five stars	it was great but it stopped showing images recently
740	Rated 1 stars out of five stars	Not being able to see the pictures of the items is really saving me a lot of money. I am a faithful shopper of Macy's online. I hope you guys get this problem fixed soon.
741	Rated 2 stars out of five stars	"I used to love it for yrs but for awhile know when you try to read description of item it doesnt go down enough to read the whole thing alot of the time. also to look at your on line purchase orders you cant open but the last one . iv tried deleting and reinstalling and made no difference. also the ...
Full Review"
748	Rated 1 stars out of five stars	Too many postings of merchandise l'm not interested in
749	Rated 1 stars out of five stars	Very unfriendly. To open a monthly ststement, is impossible. I mainly use this app to make payments and that's a struggle. If you want to get aggrevated; by all means; download this app.
753	Rated 1 stars out of five stars	I'm upset because I didn't intend to have auto pay take out $54.from my checking account I don't know what happened but it caused me to be over drawn in my account and charged fees I did not expect this to happen
761	Rated 1 stars out of five stars	constant update, it's annoying.
762	Rated 1 stars out of five stars	"I'm standing under the flickering florescent lights in a mostly vacant Macy's. The one staff person I find has no idea how to add things to a wedding registry. ""We used to have a scanner,"" she says wistfully. I think, ""Oh, the app!"" I open it. I give it camera permissions. I give it location permiss...
Full Review"
765	Rated 1 stars out of five stars	The app is always freezing, and giving me errors. I try to log in to pay my credit card, and it never logs in. It confirms my fingerprint, but never goes past the log in screen. Very inconvenient. please fix this.
766	Rated 1 stars out of five stars	crashes EVERY time I try to launch the app. Hey Macy's, how do you expect to have any customer retention if we can't launch your junk app?
772	Rated 1 stars out of five stars	It's cost a lot of app size Lower the app size please
774	Rated 1 stars out of five stars	Ordered five times but delivered to wrong address twice. Need to wait 7-10 business days to receive proof of delivery in mail prior to dispute the shipment. Macy's shipping carrier UPS is unreliable.
783	Rated 1 stars out of five stars	This app is a joke. I have never, not once, been able to log into my CC account. It's just a constant loop of waiting for a successful log in which NEVER works.
793	Rated 2 stars out of five stars	"often i go to my bag and it says empty when it certainly is not. i keep a copy of my bag items on my list for if i don't when this happens I've lost all my merchandise. Also i cant completely join into your ⭐benefits because i want store my Macys credit card on your system. The 🌟 program will not l...
Full Review"
794	Rated 1 stars out of five stars	update ruined my experience. Imagine if you could not view the product you want to purchase or unresponsive app. fix this please.
806	Rated 1 stars out of five stars	Still a rotten app. It will not load. Constant problem. The good news is I'm saving money since I can't use the app.
812	Rated 1 stars out of five stars	never got my 25% off for downloading the app
817	Rated 2 stars out of five stars	has been kicking me out of the app when i try to check out
825	Rated 1 stars out of five stars	horrible I cant check out. it keeps saying error enter shipping address and I have. even tried a different address and it wont work.
828	Rated 2 stars out of five stars	why the app is not showing product images???
838	Rated 1 stars out of five stars	accessing your account is awful. the app doesn't have the capability and when you to update your card in the system it says you need a new card..?
839	Rated 1 stars out of five stars	Not able to get into settings in the app. I get notifications, but can't turn them off. Deleting app.
844	Rated 1 stars out of five stars	It sucks after the update. If you guys wants Customers to keep shopping with the app, then you better fix it. Can't view selected products for closer inspection
849	Rated 2 stars out of five stars	The website on my phone would not accept my security code from credit card. i had to use my tablet to get it to process.
866	Rated 1 stars out of five stars	Every time I try to access the credit card, Star rewards or purchase history sections, the app crashes. It's been happening for weeks.
872	Rated 1 stars out of five stars	Can't pay my bill on the app. it won't click on the account. Freezes alot. Need an update fast
881	Rated 2 stars out of five stars	Even though I was in Macy's the app wouldn't let me scan and pay for my items. It said I had to be in a Macy's store and I was.
887	Rated 2 stars out of five stars	App worked fine until latest update. Now it keeps closing when I try to order or look at my recent orders.
890	Rated 1 stars out of five stars	App keeps crashing. Useless.
895	Rated 1 stars out of five stars	"Wow. ""25% off when using the app for your first purchase"" then you tell me the Over priced watch doesn't qualify. OK. fu-Q then F4gg0ts."
899	Rated 1 stars out of five stars	"The Macy's app does not work. I get no result when I search for merchandise Macy's sells. Their ""technical difficulty"" is the norm rather than the exception! 😠"
900	Rated 1 stars out of five stars	App freezes and can't remive stuff from bag. I've been trying to buy some items, some of which are now out of stock, but keep getting an error message when trying to remove them from the bag. App has gotten worse over time.
901	Rated 1 stars out of five stars	I would love to place an order, but app doesnt work....trying for two days now. Doesnt open
903	Rated 2 stars out of five stars	the ap is constantly freezing up.
907	Rated 2 stars out of five stars	Not the best.. and their site linked to the credit card is terrible. its confusing and not easy to see your summary of charges or retrieve information. by far one of the worst shopping/ bill pay ever
913	Rated 1 stars out of five stars	Won't take my address at all. There are more than 35 characters on my address line so I guess ordering from Macy's is impossible. You lost a good order guys.
916	Rated 1 stars out of five stars	horrible again. I had this issue for Christmas shopping on Instagram, and app. I entered in 3 valid credit cards with available balances and it said all were invalid. I won't shop here again. I did like your instore pickup.
918	Rated 1 stars out of five stars	Can't see the pictures of items.
930	Rated 2 stars out of five stars	The app is not working properly. There are no pictures to preview and I can't access my lists. Please fix this glitch. I love my Macy's app 😭
935	Rated 2 stars out of five stars	incredibly buggy and constantly needing updates but updates don't help. it's the worst way to keep track of your Macy's card
937	Rated 1 stars out of five stars	tried so many times to log in & doesnt recognize my password, then I'm sent to change my password but I cant because the robo recognition letters never pop up. three days later, I have a late payment fee and still no luck signing in. up next, an obligated phone call.
951	Rated 2 stars out of five stars	The app crashes at a lot of times and shows an error and very slow pretty much all the time. The developers needs to fix the lagging and performance issues.
958	Rated 1 stars out of five stars	new update does not let you see the image of items unless you click on it . annoying! fix it please
962	Rated 1 stars out of five stars	Product description is incomplete, and the app doesn't let me scroll down to read description all the way to the end.
967	Rated 1 stars out of five stars	This app upgrade prevents you from seeing the item when selected. Give me the old app!
969	Rated 1 stars out of five stars	Misleading. I downloaded their app because of the advertised discount and although I've never purchased anything on the app before, it still said I was ineligible and wasted my time.
971	Rated 1 stars out of five stars	great app until the update a few days ago. Now it crashes every time I try to open it on my tablet.
975	Rated 1 stars out of five stars	always a problem signing in on app. says password wrong, yet if i go to web, there's no problem signing in with same password
979	Rated 1 stars out of five stars	Sometimes order has canceled even though you paid for it, and thats the worse part. They say product is not available when you call them.
991	Rated 1 stars out of five stars	Items placed in bag don't show in bag. App is useless if I can't purchase anything. Uninstalled
1006	Rated 2 stars out of five stars	I've had to uninstall and reinstall a few times in the last few months because it crashes. I continue to use it just to manage my credit card but it is frustrating.
1013	Rated 1 stars out of five stars	Told to install this App to reset my Macy's shopping account password and it has nothing to do with it. Please add this feature. It recognizes I have an account but cannot use it to reset the password.
1015	Rated 2 stars out of five stars	Earlier app was better with no issues, but now when you open it you can see the deals . once you select particular item that pic will open blank and you have to click on blank pic to see the item it's really time consuming!
1025	Rated 1 stars out of five stars	Since update app doesn't show pictures on homepage. Have to click on star to actually see what items look like.
1026	Rated 2 stars out of five stars	this week's update is not so good, picture is not coming up unless you tap to enlarge it. Not helpful at all.
1029	Rated 1 stars out of five stars	images not showing up for months now. tried reinstalling and even switched phones.
1033	Rated 2 stars out of five stars	i didnt like it at all im trying to find these sneakers that are all over Facebook and i down load this app and no luck so kindly tell me how and were to find these nike air 97 cause i cand find them anywhere to purchase
1039	Rated 2 stars out of five stars	Pictures of items do not display unless you click on each to zoom... Never had this issue before, please fix it.
1040	Rated 2 stars out of five stars	This app is very hard to maneuver around. I've been shopping a lot at Macy's online, but had so much difficulty going from the 1st page to items I would like to consider
1060	Rated 2 stars out of five stars	search is not good!!!
1062	Rated 2 stars out of five stars	Ever since last update i'm not able to see pics of items that i search or are interested in buying... please fix!!!
1066	Rated 1 stars out of five stars	For about 4 days, everytime I signed into the app to look at my account, I got kicked out.
1067	Rated 1 stars out of five stars	to hard to use coupons. i don't want to store my cc number on app.
1070	Rated 2 stars out of five stars	Able to view images initially after search but once you click on a product your unable to see anything. It's difficult to shop online when you can't see image options.
1080	Rated 1 stars out of five stars	Totally annoying that every time you turn around this app has to be updated!!
1103	Rated 2 stars out of five stars	Way too many updates & it runs slow
1104	Rated 1 stars out of five stars	app is terrible always tells me my password is invalid. if it does not work properly im going to cancel my credit card.
1108	Rated 1 stars out of five stars	Checkout is tedious and not user friendly.
1140	Rated 1 stars out of five stars	Worst app ever... can't login to my account or shop for anything.
1166	Rated 1 stars out of five stars	App is super slow. PayPal doesnt work. Charged me twice even though it daid the order didnt go though. Never applied my gift card.
1170	Rated 1 stars out of five stars	super slow, and logs me out
1177	Rated 1 stars out of five stars	Consistent technical issues!
1196	Rated 1 stars out of five stars	Same issue as other users since update with pictures not loading. Very frustrating!
1220	Rated 2 stars out of five stars	Was supposed to have received 25 % off first purchase through app. Didn't happen
1224	Rated 1 stars out of five stars	cant pay bills online with store card come on Macy's get out of the dark ages!
1230	Rated 1 stars out of five stars	not user-friendly enough. difficulty to create an account
1231	Rated 1 stars out of five stars	The app is horrible very difficult to use and also im not getting credit for my star rewards
1233	Rated 1 stars out of five stars	Ad said get 25 Percent off after downloading the app but.......I didnt get it. this is typical of Macy's customer service lately. It's just terrible
1242	Rated 1 stars out of five stars	they slow that's why cut workers... I go Macy's all the time I can't found person to help.... just wait and wait and wait and give up!!
1244	Rated 2 stars out of five stars	terrible pop up disrupted my shopping
1265	Rated 1 stars out of five stars	horrible..when there is an update..it does not work.
1267	Rated 2 stars out of five stars	always stops working
1291	Rated 1 stars out of five stars	SICK OF NEEDING TO UP DATE EVERY TIME I GET ON THE APP!!!
1300	Rated 1 stars out of five stars	no way to contact customer service with non-order issues.
1309	Rated 1 stars out of five stars	Can not see the pictures on my registry! Inconvenient! The app should make things easier, not harder
1314	Rated 1 stars out of five stars	I never got a 25% off coupon and this is my first time ever installing the app
1319	Rated 1 stars out of five stars	can't view credit card information!
1331	Rated 1 stars out of five stars	The images are not appearing when I click on an item. Also I need a way to clear all items currently in my bag.
1362	Rated 1 stars out of five stars	I just updated this app one month ago -why soooo many updates??
1375	Rated 1 stars out of five stars	was supposed to get 25% off first order through the app but it wouldnt complete transportation. Tried again and it would accept the 25% off or 10.00 Birthday macys card. Will delete app
1394	Rated 1 stars out of five stars	crashes every single time I try to buy or go into my credit card info.
1398	Rated 1 stars out of five stars	App not working properly. Unable to empty bag as needed
1400	Rated 1 stars out of five stars	very difficult to use
