,Ratings,Comments
24,Rated 5 stars out of five stars,"love it. i was limited to the buckle b4 this app. I'm going to go broke, but it's a great app"
25,Rated 3 stars out of five stars,"it's a great app. it has store mode and online mode. i can also see my purchases i made in-store on this app. so I don't have to save the receipts. however, i can't find where to check my orders that were made online or shipped through the store in this app. the only way to get this status of my ord...
Full Review"
26,Rated 5 stars out of five stars,Excellent! Best app on the market. Amazon needs to review your app. Their's is terrible!
27,Rated 3 stars out of five stars,"This is average. I have a Samsung tablet so the app is not optimal for my device. Filters are often slow, but still work."
30,Rated 5 stars out of five stars,"This app has given me a shopping addiction! It just had a 24hr flash sale of 65-75% off on select shoes and not just shoes that have terrible ratings or ones that nobody wants either. Easy to check on my orders under your account, plus it has ups tracking link. This is what you expect when you downl...
Full Review"
33,Rated 5 stars out of five stars,Baby shopping is addictive! This is a great app when a baby lives in another state from grannie. Everything is taken care of after gifts are chosen and paid for.
34,Rated 5 stars out of five stars,I enjoy using the Macy*s app. It always runs smooth. Has a great set up to either shop everything or a specific brand or item. My favorite is the list of my favorites. To be alerted if they go on sale. Clever! I almost always buy when this happens haha. Great app
35,Rated 4 stars out of five stars,"makes shopping fun & conveniently quick, it takes away all the hassle & negative things that come along with shopping. I really like how I get notifications when a sale I'm interested in is going on. gave 4 stars for not getting fragrance samples with purchase of cologne bottle like I do in stores, ...
Full Review"
36,Rated 5 stars out of five stars,I WAS REMINDED WHEN READING THE REVIEWS THAT I TOO DID NOT RECEIVE THE 25% OFFRRED FOR DOWNLOAD ING THE APP... I'M THEY CONFIDENT THAT THEYY MAKE IT RIGHT... I'M CONSIDERING PURCHASING CHANEL NOIR NEXT...
38,Rated 5 stars out of five stars,"Always satisfied with. my orders, also great prices and quality. Thank you very much"
41,Rated 5 stars out of five stars,"I have been with them for 4 months already, and they are really good. I usually pay my card online, I was approved for a great limit. and no negative feedbacks about their card. they give you money for spending. It is just amazing. No complaints."
42,Rated 5 stars out of five stars,Awesome I love it. I'm a single father and the star reward points and the quality of the clothes keep me and my Sons looking stylish like a Million Bucks but only spend Pennies on a dollar. I ♥️ Macy's My 3yr old Son ask to go to Macy's before he asks to go to the Playground.
44,Rated 3 stars out of five stars,"Store is great, app needs a lot of work. List and board functions do not work, cant share with someone else as shown. takes a long time to load and browse, would be helpful to have a way to set sizes and only see matching results by size."
46,Rated 5 stars out of five stars,"I use this app almost every day. it is easy to use and makes it quick to follow sales, orders, pay bills etc."
47,Rated 4 stars out of five stars,i would have given macys five stars except for one thing. i order things for my girls and want them sent to different Macys. for some reason the app wont let me pick a store for delivery. So i have to call and do my order over the phone.
49,Rated 5 stars out of five stars,"Smart categories and easy navigation. Up to the minute account info. Flash deals and specials are icing on the cake. Love the app, and love Macy's (none better especially around the fall/winter season)."
51,Rated 5 stars out of five stars,"Macy's app has all the power of the website, but sized for my phone. I shop, find coupon codes and promotions, make my credit card payments, process my returns, ... everything! I'm a long time Macy's customer and expect nothing less from them. Macy's retail therapy is most curative. 🤗"
54,Rated 5 stars out of five stars,"a great app i get the best sales and wend i go to the store i do great i save alot sweaters , t-shirts , pants ,sneakers, Brand name .jeans , shirts , i save alot So what you waiting for go for it @ Maycs . Thank you Julio Herrera Bronx NY"
55,Rated 5 stars out of five stars,"Easy to use, shop and order items . I like the ability to check for coupons, pay my bill and see reward points all in one place"
56,Rated 5 stars out of five stars,"this is a great app for shopping, checking out the latest sales and promotions, and doing a price check in store!"
58,Rated 5 stars out of five stars,I really enjoy shopping on line. When you go in the store and can't find them in the size you want they will order them online for you or you can do it yourself. Ordering clothes online is fantastic. Thank You
62,Rated 5 stars out of five stars,"Love it! The app makes shopping easy, and I love the price finder when you are shopping in the store, just scan the tag and it will tell you the sale price ."
63,Rated 5 stars out of five stars,I love the Macy's app! It's been super useful and I navigate it without a struggle -Its user friendly.
64,Rated 5 stars out of five stars,"just for browsing or shopping, Macy's app makes my online shopping experience enjoyable."
66,Rated 4 stars out of five stars,"This app is easy to use. I wish items had more specific information. For example, garment steamers are described as potent and commercial grade. How much power does that actually translate into? Cotton is really hard to steam thoroughly. Not enough info."
67,Rated 3 stars out of five stars,I'm trying to pay for my items to be shipped off of my Macy's gift card and as I put my numbers in off my card it's not allowing me they stop letting me put my last 4 numbers in which enables me the process of ordering my items to be delivered I dont know what I' am doing wrong
68,Rated 5 stars out of five stars,"i work at macys and love this app as a customer AND employee, i use it for everything. highly recommend more people take advantage of the scan and pay, it makes checking out at the register much faster!"
70,Rated 4 stars out of five stars,"very good app, tried changing the default email address associate with it, to no luck. Even contacted customer service and to no avail, but still enjoy the app overall."
71,Rated 5 stars out of five stars,This is one of the very few apps where the website and app experience are seamless. Very easy to use and navigate.
73,Rated 5 stars out of five stars,"Macy's is a great place to shop both online and in store. fashionable selections, great customer service and prompt delivery. Am happy to always shop from Macy's"
75,Rated 5 stars out of five stars,"I can shop at home in my pajamas, knowing I will get the best selection, the best prices, the best rewards, and fast/free shipping! How do you beat that? :)"
77,Rated 5 stars out of five stars,"love the app, very practical, very convenient cause I can shop where ever I'm at. Easy to use and love that I can use my coupons I have saved."
79,Rated 5 stars out of five stars,"Very fun and easy app to maneuver! Also, the sample photos allow you to see just how big a product or item is on a person! Kudos to you Macy's!!"
80,Rated 4 stars out of five stars,My Macy's account is locked and i need to sign in from my mobile app. All the rest of the app is great.
81,Rated 5 stars out of five stars,"love it.. recently got hurt and was unable to leave my home but granddaughters birthday can not wait till you can walk, this app. made it so easy.. and straight to my door."
82,Rated 5 stars out of five stars,"I shop at Macy's often. This is my favorite app! Everything you need in one place, without having to leave home."
83,Rated 5 stars out of five stars,"I love shopping in store Macy's having the apps on my phone help me to search the different departments and brands. Love, love. Macy's still my #1 store."
85,Rated 5 stars out of five stars,"Macy's has "" risen to the occasion"" with this app. I use is often, and I love it!"
86,Rated 5 stars out of five stars,Very intuitive and easy to use APP. Also live the price check ability with the APP while you are in the store. even let's you check things like coupon eligibility and promos for that day.
87,Rated 5 stars out of five stars,Great ....It is very convenient. I've used it for most of my purchases and it is easy to navigate . I love it .
88,Rated 4 stars out of five stars,There's a much bigger selection with the app than my local store. I was able to purchase a Nespresso Vertuo machine. They only had Keurigs at my local store.
89,Rated 5 stars out of five stars,I love using this app because it's so easy to use and it alerts me regarding awesome sales and promotions.
91,Rated 5 stars out of five stars,"Macy's explanations on the this site are so clear, precise and tempting. You feel it is difficult to pass up their opportunities. 🤗🙂🙂 Margaret Dalvi"
92,Rated 5 stars out of five stars,"Very easy to navigate. Macy's is my one-stop shopping destination. I use Macy's app for all my lingerie, tops, jeans, slacks and, my main weakness, shoes! I love getting notifications of shipments and deliveries. I love the sales alerts and flash sales."
93,Rated 5 stars out of five stars,"Best Customer Service in ordering , have ordered several items. Never have been disappointed. The service is very customer friendly."
95,Rated 5 stars out of five stars,love my macys app! quick and easy to shop at home or on the go. happy shopping everyone!
96,Rated 5 stars out of five stars,"this app has everything that makes it easy for me to check my account balance, send me alerts canoe sales etc..."
97,Rated 5 stars out of five stars,"The Best, I love being able to get what I need for work. All the styles are beautiful, and pricing is great always a deal going on."
98,Rated 5 stars out of five stars,Very easy to navigate. Made my last online purchase using it. Happy client here!
99,Rated 5 stars out of five stars,I love using the app to shop. So much faster than the browser and it's so easy to track my shopping.
100,Rated 5 stars out of five stars,"Macy's has the best customer service available ! Please don't ever change! When customers are treated right, you will never want for business!"
101,Rated 5 stars out of five stars,The Macy's app is user friendly and each page is easy to navigate through out the purchasing process.
102,Rated 5 stars out of five stars,Macys in my favorite store. I get the best deals on designer shoes and clothing for half the cost.
104,Rated 5 stars out of five stars,"Easy to use. Able to shop, make a payment and track packages for delivery."
106,Rated 5 stars out of five stars,"Unable to view item after clicking on screen, item does not appear on screen until after I double click in order to view item to determine color, size or i.e.. Should have to click only once in order to view item. Not sure what is wrong with app."
107,Rated 4 stars out of five stars,Great shopping app that has an intuitive interface. Very easy to find what you need online and in the store.
108,Rated 5 stars out of five stars,"I feel like a prime customer, my packages are delivered on a timely manner 3 days or less."
109,Rated 5 stars out of five stars,"This app is quick and easy to use, I can check sales, make payments and shop anywhere. I would definitely recommend."
111,Rated 5 stars out of five stars,I really enjoy shopping on line. When you go in the store and can't find them in the size you want they will order them online for you or you can do it yourself. Ordering clothes online is fantastic. Thank You
113,Rated 5 stars out of five stars,"i have been shopping at Macy's since i was a teenager, over 25 years. I always found quality brand names at great prices, with even further discounts. Macy's works with you. The only department store that i still get excited shopping at. the atmosphere is alive. it a win win. I love Macy's."
114,Rated 5 stars out of five stars,The app is easy to use... It makes shopping with Macy's very easy. I had stopped shopping there after my local Macy's closed but now I order items to the store I pass by during the work week...
116,Rated 5 stars out of five stars,"It's an Excellent App, you can do everythg right form your phone if your at home or while shopping at store, so get familiar with your app, you get the latest News and sales prmo codes. Its Awsome to be a Macys Cusomer"
117,Rated 5 stars out of five stars,I totally enjoy shopping on this site. I can browse the great deals anytime anywhere!
118,Rated 4 stars out of five stars,"Great App, but would appreciate a phone number to a customer service representative to answer any questions for each retail catagory."
120,Rated 5 stars out of five stars,Macy's is the first place I go when I need something. I'm plus size so online shopping is my go to. I love Macy's app.
125,Rated 5 stars out of five stars,i love the app. Everything is easy and they let me know when a product get discount.
127,Rated 5 stars out of five stars,"Easy to use and compared to the apps of Macy's competitors, the speed in which you are able to make color or stlye comparisons makes shopping on the app fun and shows respect for the customers time. You can also filter and sort items without having to watch paint dry in between."
130,Rated 5 stars out of five stars,Love the Macy's app. I use it regularly. I'm always checking the sales. I can make my purchase's right from the app and track my pkgs as well. it's super convenient and I love it!!!
132,Rated 5 stars out of five stars,"Macys Plaza Las Americas Store is Fantastic to shop at with super Associates that help when in need, just love shopping there."
133,Rated 5 stars out of five stars,"Excellent app, easy to navigate and great looking pictures of items!!!"
134,Rated 5 stars out of five stars,I WAS REMINDED WHEN READING THE REVIEWS THAT I TOO DID NOT RECEIVE THE 25% OFFRRED FOR DOWNLOAD ING THE APP... I'M THEY CONFIDENT THAT THEYY MAKE IT RIGHT... I'M CONSIDERING PURCHASING CHANEL NOIR NEXT...
135,Rated 5 stars out of five stars,love the website but When it come to coupons you can't use them on perfume I know other stores like Dillard's you know stores compatible to Macy's they allowed their store coupons to be used on the perfume department
136,Rated 5 stars out of five stars,always easy to order or return items. It's wonderful shopping on line with them .
138,Rated 5 stars out of five stars,I love to do my shopping online because I can't find a better item and price for petite in the store so I LOVE Macy's app ❤❤❤👠👗💍
139,Rated 5 stars out of five stars,everything so simple and easy to access and make my online shopping experience more interesting
141,Rated 5 stars out of five stars,I love shopping in Macy's and I love this app but I can't see the items images unless I click on them since the last update.
142,Rated 5 stars out of five stars,Macy's always put a smile on my face. Sales on top of sales. I love it!!!
143,Rated 5 stars out of five stars,I love it makes my shopping way more easier than going on the Web and I get more discounts for using the app #Winning 😀
145,Rated 5 stars out of five stars,it's good and save time no need to go in the store.but sometimes i recieved the wrong product.
146,Rated 4 stars out of five stars,"Love shopping on this app, however it's not up to date. i recently made a return and it still shows on my account. So i only gave 4 stars! I do love Macy's! 😉"
147,Rated 4 stars out of five stars,"please say hello for me to maria kryiakidis who works in the watch department at the macys store in downtown crossing in boston mass.just a great person to do business with.she also helps out in the diamond section as well.hope she continues on,macys should be happy to have her as a much valued empl...
Full Review"
148,Rated 5 stars out of five stars,"very easy to use to make purchases as well as easy to access my account information. We are all so short on time, anything that actually makes my life easier is greatly appreciated!!"
150,Rated 5 stars out of five stars,I have Purchasesd their Mac make up at Macy's. I have also worn a few suits at Macy's and bought fathers day gifts for Dad at Macy's. The experience was beautiful. Especially when you can get it for half off prices.
152,Rated 4 stars out of five stars,so far so good I like when I go to a Macys store it helps me find out the best deals
153,Rated 4 stars out of five stars,Please allow app to be moved to the SD card. Other than that excellent app
154,Rated 4 stars out of five stars,"PURCHASE HISTORY AND CARD ALONG WITH FEW OTHER THINGS CAUSING SHUT DOWN, ALSO CANT CHECK OUT. THIS IS AFTER THE LATEST UPDATE. ON A S10+ NOTE 9 AND NOTE 8 WITH ALL THE LATEST UPDATES."
155,Rated 5 stars out of five stars,"I love this app. You have plenty shopping sections, and being able to pay on line is so helpful when you don't have a car."
157,Rated 5 stars out of five stars,"The App is very good, it's easy to use, the only minus is the clothing sizes or the shoe sizes are not always available."
158,Rated 5 stars out of five stars,"Great team! In all departments, Hawaiian style!! Thank U N Jesus loves U too 😁 ❣️"
159,Rated 5 stars out of five stars,This app is actually better than the other mens stores that I purchase from frequently.
160,Rated 5 stars out of five stars,"Love shopping there. Great Sales on lingerie, clothing, shoes a d perfume sets. Quality items for sure!"
161,Rated 4 stars out of five stars,Great products! Lots of technical issues with the cart and checkout.
162,Rated 4 stars out of five stars,Love Macys app. Shop almost daily! Easy to use. Great for sales
163,Rated 3 stars out of five stars,I can't see the store purchases anymore on the app after the latest update.
164,Rated 5 stars out of five stars,Its quick and easy when you try to filter out and only see what you want to shop for.
165,Rated 4 stars out of five stars,"it's good, sometimes i can't find some stuff tho! But an in an it's good bordering great!"
166,Rated 5 stars out of five stars,Intuitive and simple! Like being in the store without the hassle!
168,Rated 5 stars out of five stars,Very user friendly to operate. i love shopping on line with you!
169,Rated 3 stars out of five stars,"it was very convenient, i was promised 25% off my order for downloading the app which didn't work. i contacted customer service and a representative helped get the discount. Not until i said i was uninstalling the app."
170,Rated 5 stars out of five stars,Love my Macy's app. I can take advantage of the the flash sales.
171,Rated 4 stars out of five stars,I completed my order sometime between 1- 3 am on Wednesday morning and received it on Friday at 11:40 am. Are you kidding me? That's crazy. I'm happy with my purchase and now am about to order something more impressive. Yay for me.
172,Rated 5 stars out of five stars,"So easy to open this app, click on my favorite items & all done in just a couple of minutes."
173,Rated 5 stars out of five stars,"great access to my account and my saved items, wallet, coupons etc... Love it"
174,Rated 5 stars out of five stars,I absolutely love Macys!! Timely delivery and exceptional customer service
175,Rated 5 stars out of five stars,"Love Macy's, but if only they would have carts cause my arm's hurt a lot."
176,Rated 5 stars out of five stars,I love Macy 's they are the best. I have been shopping here for years.they alway have good sales.
177,Rated 3 stars out of five stars,"lately I haven't been able to make my payments on the app, the screen just stays white .."
178,Rated 5 stars out of five stars,I really don't have any complaints about this app. It is extremely efficient. Love Macy's and love their app!
179,Rated 5 stars out of five stars,This app is great! I never have any problem when Im shopping...
180,Rated 3 stars out of five stars,"save stuff in the basket,it keep disappearing, doesn't happen with other stores"
181,Rated 4 stars out of five stars,"Everything in-store should be available in the app, not just promotional merchandise. And more Last Act items should be featured aggressively ( the more you buy, the more you save)."
185,Rated 4 stars out of five stars,gott it Gattdown just start to search this app so far so good hope to get a hug dis count j . ust to make my day to give to those who i know want complain!!
187,Rated 5 stars out of five stars,I love this app. It's easy to use. I have everything I want to do right at my fingertip. Very easy to shop and checkout. I LOVE IT
188,Rated 4 stars out of five stars,"I'll let you know when I have shopped on it more, haven't been on it enough."
190,Rated 5 stars out of five stars,"great sales, great ordering online and great brands for women's clothes and shoes"
191,Rated 5 stars out of five stars,Macy's is my favorite store I love the quality of their clothes that have great sales and I've never had a problem there at all the years I've shopped there
192,Rated 4 stars out of five stars,I like the Macy's app. It is easy to use and keep up with specials and sales.
193,Rated 5 stars out of five stars,The app is amazing. I love getting notifications about sales.
194,Rated 4 stars out of five stars,"so the app is fine, you all need a new delivery policy. All on TV you see folks stealing people's packages.So I think you need to implement a sign policy. saves you from having to replace folks item.Saves you money."
195,Rated 5 stars out of five stars,I've had a awesome experience with this app very helpful I love it.
196,Rated 5 stars out of five stars,Easy to shop at Macy's the app is quick to manipulate when shopping in various departments
197,Rated 5 stars out of five stars,"Love how you are able to make so much stuff...shop, make a payment, check your bill etc."
198,Rated 5 stars out of five stars,"This is an easy app to navigate. All feature work without glitches, which is obviously a good thing."
199,Rated 5 stars out of five stars,"Loves everything in one place. eg., acct, purchase history, orders, etc. See pics of orders with details."
200,Rated 5 stars out of five stars,"Convenient shopping, easy checkout and fast delivery. No need to drive to store, walk the whole store and then wait in line to checkout. App does almost everything; except returns."
201,Rated 5 stars out of five stars,"excellent app, easy to use. flash sales are awesome!"
202,Rated 4 stars out of five stars,"Pretty easy to navigate the App. Just disappointed in the ""coupons"" that do not ever seem to work on any merchandise I need or want. Guess that's more store/company issue than an App issue."
205,Rated 5 stars out of five stars,"like the application a lot, how ever it loaded some credit cards that did not belong to me into my credit card account 2 visas and 1 american express that belonged to my parents for payment! oops!!!"
206,Rated 5 stars out of five stars,I love this app. I really like how you can add your favorite items to a list and them buy them when they are at the best sale price.
207,Rated 3 stars out of five stars,"in viewing items and reading descriptions, the descriptions are cut off, not being able to read all the information on the product. a little frustrating."
208,Rated 5 stars out of five stars,"Super Shop app. Try you'll like, Shop will make you shine... @Shesouki"
209,Rated 5 stars out of five stars,easy to use! Love it! makes my shopping easy.
211,Rated 5 stars out of five stars,I'm new to ordering online because I always shop at Macy's and everything is in my house is for Macy's you are the best I find better buys online love you
212,Rated 5 stars out of five stars,I've been doing lots of shopping scenes I added this app it allows me to be able to afford a low things I couldn't economically affordable
213,Rated 5 stars out of five stars,"i love being able to set my store and being able to check whether an item is in stock. Fast, simple and workable."
214,Rated 3 stars out of five stars,I was supposed to receive a 25% coupon for dwnldng the app and received nothing.
216,Rated 3 stars out of five stars,All promised 25% off first order but then the message disappeared and never popped back up.
218,Rated 5 stars out of five stars,the young lady in the men's department helped me so much she was very nice measured my dad to get prepared to bury his wife she took time out with the shirts and found the right tie
220,Rated 5 stars out of five stars,"great merchandise, awesome sales and perfect customer service. I absolutely love macys"
221,Rated 5 stars out of five stars,"I haven't had any issues with Macy's online ordering, or in the store. I get texts alerts for the sales, clearances. I just open the app and always smooth sailing."
222,Rated 5 stars out of five stars,"been a shopper on Macy's an experience will never forgotten, excellent customer service, best merchandise, amazing!"
223,Rated 5 stars out of five stars,"l have shopped at Macy's for years. When shopping on line, items are shipped quickly. Returns are very easy usually. You take items to the store for your return."
224,Rated 5 stars out of five stars,"So in a few days,using the app u are giving great sales for me to go shop!! Love it."
225,Rated 5 stars out of five stars,Very easy to use and I like the fact that you can pay your credit card right in the app as well.
227,Rated 5 stars out of five stars,The employees that helped me was very friendly and greeted me with a smile. very helpful
228,Rated 4 stars out of five stars,easy to shop online and pick up at store free of shipping.
229,Rated 5 stars out of five stars,like buying on line and picking up in store! I also like being informed of sales on items viewed in the past...
230,Rated 3 stars out of five stars,Good but not great... Online shopping fine but Store Mode stinks. The scan and pay and price check didn't work.
231,Rated 5 stars out of five stars,"Macy's is the place to shop for elegant or casual, beautiful individual counters for your cosmetics and parfums, Men and Women clothing ❤"
232,Rated 5 stars out of five stars,i have not purchase anything only what i received from mail. i will send u a check by mail. with regions bank next month. thank u so much. some stole mine ss# and everything from me the last time ipurchase was in westland mall then mall of the america etc
233,Rated 4 stars out of five stars,"I love Macy's, they have awesome sales and they always carry name brand stuff. their stuff is very durable and very stylist. I give them for thumbs up."
234,Rated 5 stars out of five stars,"Great deals and fast shipping experiences. I love shopping at Macy's, it's worth my money."
235,Rated 5 stars out of five stars,I love this app. It is very informative .I use this app often. There are many items and easy to navigate.
236,Rated 5 stars out of five stars,love it! I can scan and get prices on my phone. Great tool for shopping on a budget.
237,Rated 3 stars out of five stars,"App is convenient, but had a glitch when ordering. Would not recognize my valid email for purchase."
238,Rated 4 stars out of five stars,Very easy to use but in store items are not always accurate.
239,Rated 5 stars out of five stars,Easy app for quick and easy shopping. App is secure so I can manage my account easily. This app is one key reason why I like shopping Macy's.
240,Rated 4 stars out of five stars,great website sales are much better here than the store love this app I just bought three pair of quality boots at price I couldn't pass up...
241,Rated 5 stars out of five stars,LOVE💙 shopping on Macy's website😙😚 easy to maneuver around. great descriptions of items. clear photos and HONEST reviews.YOU HAVE OUTSTANDING CUSTOMER SERVICE AS WELL🤗 Many THANKS 🎈🎀🎁🙋
242,Rated 5 stars out of five stars,I've only had the application a few days but I love it! I don't have a Macy's store near me now here in Georgia. The app helps me to feel not so home sick for California!
244,Rated 5 stars out of five stars,"It's easy to shop & I get just what I expected. I love the sales & rewards,too!"
245,Rated 5 stars out of five stars,"Love, Love Macys! The app just makes it easier for me to shop whenever I choose."
246,Rated 5 stars out of five stars,Just love the fashion Style the Prices and especially the Last Act andthe Clearences just love Macys.
247,Rated 5 stars out of five stars,The sales discount are awesome with great selection and quality products. The only problem that I have is I'm unable to print return shipping labels.
249,Rated 5 stars out of five stars,Easy to use. The lists option along with the capability to create boards & share them make shopping for gifts so much easier. Great features!
251,Rated 5 stars out of five stars,"This is a great app which makes shopping so much easier with the ""Buy Now"" option!"
252,Rated 5 stars out of five stars,I like the App because you can do anything from here...
253,Rated 5 stars out of five stars,"Shop sales. You cannot beat prices and quality. Wish they offered more women's long items (33""-35"") length in pants and (31"") in leggings and (50"" in maxi dresses)."
255,Rated 5 stars out of five stars,Macy's is a wonderful store and this app is great so easy and fun.Thanks Macy's
256,Rated 5 stars out of five stars,I love that you can Scan and Pay or use the instore Scanner from the App. :)
258,Rated 5 stars out of five stars,scanning the barcode by this app is incredible. I no longer need to find the price check station in store.
259,Rated 5 stars out of five stars,"App is great for locating items by size, brand, color, sales, etc. Love this app!"
260,Rated 5 stars out of five stars,Love Macys Return Policy. From Brick and Mortar to Online Puchases. Very Reliable!!!! Easy App usage.
261,Rated 5 stars out of five stars,love using the app take me exactly where I want to go.
262,Rated 5 stars out of five stars,"easy deals to find, great detailed descriptions of products and most importantly items ARE as shown."
264,Rated 5 stars out of five stars,This app is great! I just wish there was a way to scan and/or save your Macy's gift cards before you shop.
265,Rated 5 stars out of five stars,Shopped Macy's a lot. Only one complaint is products sold from China. They don't realize sizes are too small at least for me. love Macy's
266,Rated 5 stars out of five stars,"Easy to use, love the deals that show up over time."
267,Rated 3 stars out of five stars,I used 2 shopping w/ Macy's shopped at Macy's since I was a kid &my Mom brought me aglone but lately the app has just been impossible to work with
268,Rated 5 stars out of five stars,Using the app is very convenient and helpful. I love the points that are generated when making a purchase.
270,Rated 5 stars out of five stars,"Just perfect and efficient. Let's me take advantage of the special sales without leaving my house, what else could I ask for?"
271,Rated 5 stars out of five stars,In my opinion the Macy's is very cool and I really think you should give it a try.
272,Rated 5 stars out of five stars,I love shopping at Macy's it's my own place to get anything I want just add to the bag click pay and shipping right at your door
273,Rated 5 stars out of five stars,Much better than the mobile website. It is faster and more user friendly. Shopping made easy.
274,Rated 3 stars out of five stars,"A lot of items i choose to purchase the ""Buy Now"" button can't be found so i disregard buying the item"
275,Rated 5 stars out of five stars,easy to make online orders and to check the status of orders
277,Rated 5 stars out of five stars,I wan't to thank you all for all of the great items that you put out to the public. I have bought a lot of great items over the years. Thank you very much.
278,Rated 3 stars out of five stars,"since last update, most items wont show picture once selected. please fix."
279,Rated 5 stars out of five stars,"Great app, really easy to navigate! Everything you could ever want in a department store app"
280,Rated 5 stars out of five stars,reliable ordering & delivery & very easy return to store if not satisfied... THANK YOU & GBY ALL ❤
281,Rated 5 stars out of five stars,I love my Macy's! there products are always awesome.
282,Rated 5 stars out of five stars,"Easy to maneuver, everything accessible at one touch love it all good quality, speedy delivery..."
283,Rated 5 stars out of five stars,Awesome app its so easy to use and to find what your looking for. Recommend to everyone.
284,Rated 5 stars out of five stars,always enjoy the quality of Macy's merchandise. workers are helpful when you are shopping.
285,Rated 3 stars out of five stars,i love it but recently after updates it won't load pictures when you click on the item and they removed the option for return ☹
286,Rated 5 stars out of five stars,I love Macy's. They have great sales on top brands.
289,Rated 4 stars out of five stars,"I find pricing is high even on items listed on sale, items on clearance as well as items which list as discontinued. Quality of stock Macy""s carries is surperior which speaks for higher pricing."
290,Rated 4 stars out of five stars,It's a great extension for our shopping experience in whatever our local store does carry or have in stock!
291,Rated 4 stars out of five stars,"it not hard to used,so far it work out for me."
293,Rated 5 stars out of five stars,the app is convenient. I receive the same store discount as I would if I were in the store.
294,Rated 5 stars out of five stars,love shopping at Macy's online. great discounts.
295,Rated 5 stars out of five stars,Always is a pleasure buy at Macy's online. Love the app. Thank you.
297,Rated 5 stars out of five stars,So in love with this app! makes my life easy. Very easy to manage. Love it
298,Rated 5 stars out of five stars,"Great app for shopping, I always find what I need"
299,Rated 5 stars out of five stars,The price checker is so convenient. I can even check to see if they have my size or a different color
300,Rated 5 stars out of five stars,"It says ""tell us more"" but it cuts off the area that lets me answer."
